Resort,Zip,Station,Station ID,Years,Visits,Average Snow Depth,Average High Temp,Average Low Temp,Average Median Temp
Discovery,59711,USS0013C03S,86,2020-2021,"66,855",47.23966942,33.2231405,15.45454545,22.99173554
Red Lodge,59068,USS0009D16S,342,1988-1989,"83,752",,,,8.809917355
Red Lodge,59068,USS0009D16S,342,1989-1990,"105,079",,,,19.97520661
Red Lodge,59068,USS0009D16S,342,1990-1991,"99,801",,48.76859504,30.05785124,12.47107438
Red Lodge,59068,USS0009D16S,342,1991-1992,"101,237",,36.6557377,20.63934426,27.60655738
Red Lodge,59068,USS0009D16S,342,1992-1993,"92,249",,29.52066116,11.59504132,19.97520661
Red Lodge,59068,USS0009D16S,342,1993-1994,"122,636",,32.02884615,14.69230769,22.58653846
Red Lodge,59068,USS0009D16S,342,1994-1995,"114,140",,31.34710744,15.52892562,22.97520661
Red Lodge,59068,USS0009D16S,342,1995-1996,"125,288",,28.48360656,11.21311475,19.56557377
Red Lodge,59068,USS0009D16S,342,1996-1997,"117,516",,30.62809917,12.39669421,21.29752066
Red Lodge,59068,USS0009D16S,342,1997-1998,"147,406",,31.87603306,16.05785124,23.10743802
Red Lodge,59068,USS0009D16S,342,1998-1999,"119,727",,34.7107438,19.07438017,26.34710744
Red Lodge,59068,USS0009D16S,342,1999-2000,"116,926",,36.19672131,21.12295082,28.25409836
Red Lodge,59068,USS0009D16S,342,2000-2001,"110,145",,34.05785124,17.14049587,25.2231405
Red Lodge,59068,USS0009D16S,342,2001-2002,"88,108",,31.20661157,14.97520661,23.12396694
Red Lodge,59068,USS0009D16S,342,2002-2003,"123,349",43,34.43801653,19.2231405,26.72727273
Red Lodge,59068,USS0009D16S,342,2003-2004,"103,471",33,36.93442623,19.7295082,27.97540984
Red Lodge,59068,USS0009D16S,342,2004-2005,"99,524",25,36.85950413,19.26446281,27.60330579
Red Lodge,59068,USS0009D16S,342,2005-2006,"89,363",29,34.47107438,16.67768595,25.49586777
Red Lodge,59068,USS0009D16S,342,2006-2007,"84,685",26,36.50413223,19.43801653,27.52892562
Red Lodge,59068,USS0009D16S,342,2007-2008,"84,587",25,31.60655738,14.91803279,22.83606557
Red Lodge,59068,USS0009D16S,342,2008-2009,"104,613",33,34.70247934,15.66115702,24.52892562
Red Lodge,59068,USS0009D16S,342,2009-2010,"109,620",37,34.36363636,17.89256198,25.07438017
Red Lodge,59068,USS0009D16S,342,2010-2011,"97,373",31,32.66115702,17.03305785,24.80165289
Red Lodge,59068,USS0009D16S,342,2011-2012,"111,581",38,36.32786885,20.55737705,28.24590164
Red Lodge,59068,USS0009D16S,342,2012-2013,"86,629",22,33.26446281,18.33057851,25.49586777
Red Lodge,59068,USS0009D16S,342,2013-2014,"105,510",46,31.26446281,14,22.81818182
Red Lodge,59068,USS0009D16S,342,2014-2015,"87,805",29,38.30578512,22.48760331,30.28099174
Red Lodge,59068,USS0009D16S,342,2015-2016,"66,914",21,36.14754098,22.39344262,29.13934426
