Date,24 hr New Snow,Season Snowfall Total,Base Depth
13-Dec-10,3 cm,1025 cm,142 cm
15-Dec-10,28 cm,1053 cm,157 cm
16-Dec-10,5 cm,1058 cm,155 cm
17-Dec-10,3 cm,1061 cm,147 cm
18-Dec-10,3 cm,1064 cm,142 cm
19-Dec-10,10 cm,1074 cm,150 cm
20-Dec-10,43 cm,1117 cm,173 cm
21-Dec-10,5 cm,1122 cm,168 cm
23-Dec-10,18 cm,1140 cm,168 cm
27-Dec-10,10 cm,1150 cm,163 cm
28-Dec-10,13 cm,1163 cm,168 cm
29-Dec-10,18 cm,1181 cm,175 cm
30-Dec-10,18 cm,1199 cm,178 cm
31-Dec-10,5 cm,1204 cm,180 cm
1-Jan-09,18 cm,18 cm,142 cm
2-Jan-09,23 cm,41 cm,147 cm
3-Jan-09,25 cm,66 cm,157 cm
6-Jan-09,15 cm,81 cm,155 cm
7-Jan-09,38 cm,119 cm,190 cm
8-Jan-09,10 cm,129 cm,175 cm
9-Jan-09,15 cm,144 cm,173 cm
11-Jan-09,30 cm,174 cm,185 cm
12-Jan-09,18 cm,192 cm,193 cm
13-Jan-09,5 cm,197 cm,183 cm
23-Jan-09,13 cm,210 cm,160 cm
24-Jan-09,3 cm,213 cm,163 cm
25-Jan-09,30 cm,243 cm,183 cm
26-Jan-09,13 cm,256 cm,188 cm
27-Jan-09,5 cm,261 cm,185 cm
28-Jan-09,15 cm,276 cm,188 cm
29-Jan-09,18 cm,294 cm,190 cm
3-Feb-09,3 cm,297 cm,173 cm
7-Feb-09,10 cm,307 cm,170 cm
9-Feb-09,3 cm,310 cm,165 cm
10-Feb-09,13 cm,323 cm,163 cm
11-Feb-09,5 cm,328 cm,168 cm
12-Feb-09,15 cm,343 cm,170 cm
13-Feb-09,5 cm,348 cm,175 cm
14-Feb-09,3 cm,351 cm,1689 cm
15-Feb-09,15 cm,366 cm,173 cm
17-Feb-09,10 cm,376 cm,173 cm
18-Feb-09,33 cm,409 cm,188 cm
19-Feb-09,23 cm,432 cm,190 cm
21-Feb-09,15 cm,447 cm,185 cm
23-Feb-09,3 cm,450 cm,175 cm
24-Feb-09,8 cm,458 cm,183 cm
25-Feb-09,8 cm,466 cm,183 cm
26-Feb-09,20 cm,486 cm,188 cm
27-Feb-09,18 cm,504 cm,201 cm
3-Mar-09,5 cm,509 cm,180 cm
4-Mar-09,3 cm,512 cm,178 cm
5-Mar-09,10 cm,522 cm,180 cm
6-Mar-09,25 cm,547 cm,193 cm
7-Mar-09,8 cm,555 cm,190 cm
8-Mar-09,3 cm,558 cm,190 cm
9-Mar-09,13 cm,571 cm,198 cm
10-Mar-09,5 cm,576 cm,196 cm
11-Mar-09,13 cm,589 cm,196 cm
16-Mar-09,15 cm,604 cm,188 cm
17-Mar-09,15 cm,619 cm,193 cm
18-Mar-09,3 cm,622 cm,193 cm
22-Mar-09,5 cm,627 cm,178 cm
23-Mar-09,3 cm,630 cm,175 cm
24-Mar-09,10 cm,640 cm,183 cm
25-Mar-09,15 cm,655 cm,193 cm
26-Mar-09,53 cm,708 cm,229 cm
27-Mar-09,3 cm,711 cm,216 cm
28-Mar-09,3 cm,714 cm,208 cm
29-Mar-09,33 cm,747 cm,234 cm
30-Mar-09,18 cm,765 cm,239 cm
31-Mar-09,23 cm,788 cm,246 cm
1-Apr-09,33 cm,821 cm,254 cm
2-Apr-09,18 cm,839 cm,251 cm
3-Apr-09,25 cm,864 cm,262 cm
4-Apr-09,10 cm,874 cm,254 cm
5-Apr-09,3 cm,877 cm,241 cm
24-Nov-09,25 cm,902 cm,38 cm
2-Dec-09,10 cm,912 cm,30 cm
8-Dec-09,10 cm,922 cm,38 cm
10-Dec-09,3 cm,925 cm,41 cm
12-Dec-09,8 cm,933 cm,41 cm
13-Dec-09,36 cm,969 cm,66 cm
14-Dec-09,18 cm,987 cm,74 cm
15-Dec-09,15 cm,1002 cm,69 cm
17-Dec-09,8 cm,1010 cm,66 cm
18-Dec-09,8 cm,1018 cm,69 cm
20-Dec-09,3 cm,1021 cm,66 cm
21-Dec-09,5 cm,1026 cm,64 cm
22-Dec-09,3 cm,1029 cm,66 cm
23-Dec-09,3 cm,1032 cm,66 cm
24-Dec-09,5 cm,1037 cm,66 cm
30-Dec-09,8 cm,1045 cm,64 cm
31-Dec-09,13 cm,1058 cm,64 cm
