Date,24 hr New Snow,Season Snowfall Total,Base Depth
9-Dec-10,23 cm,720 cm,76 cm
10-Dec-10,13 cm,733 cm,157 cm
12-Dec-10,23 cm,756 cm,165 cm
1-Jan-09,10 cm,10 cm,124 cm
4-Jan-09,5 cm,15 cm,117 cm
5-Jan-09,33 cm,48 cm,137 cm
7-Jan-09,18 cm,66 cm,142 cm
8-Jan-09,8 cm,74 cm,142 cm
11-Jan-09,5 cm,79 cm,150 cm
27-Jan-09,3 cm,82 cm,122 cm
28-Jan-09,3 cm,85 cm,122 cm
2-Feb-09,23 cm,108 cm,142 cm
6-Feb-09,3 cm,111 cm,135 cm
9-Feb-09,10 cm,121 cm,142 cm
13-Feb-09,1 cm,122 cm,137 cm
23-Feb-09,20 cm,142 cm,155 cm
24-Feb-09,25 cm,167 cm,165 cm
25-Feb-09,13 cm,180 cm,165 cm
27-Feb-09,1 cm,181 cm,182 cm
28-Feb-09,3 cm,184 cm,178 cm
1-Mar-09,18 cm,202 cm,190 cm
2-Mar-09,10 cm,212 cm,188 cm
3-Mar-09,8 cm,220 cm,190 cm
14-Mar-09,15 cm,235 cm,188 cm
16-Mar-09,25 cm,260 cm,208 cm
17-Mar-09,18 cm,278 cm,229 cm
19-Mar-09,12 cm,290 cm,228 cm
20-Mar-09,29 cm,319 cm,244 cm
21-Mar-09,29 cm,348 cm,244 cm
22-Mar-09,29 cm,377 cm,244 cm
23-Mar-09,3 cm,380 cm,241 cm
24-Mar-09,5 cm,385 cm,244 cm
25-Mar-09,3 cm,388 cm,244 cm
29-Mar-09,5 cm,393 cm,229 cm
31-Mar-09,5 cm,398 cm,229 cm
2-Apr-09,10 cm,408 cm,235 cm
3-Apr-09,10 cm,418 cm,236 cm
11-Apr-09,3 cm,421 cm,208 cm
12-Apr-09,3 cm,424 cm,208 cm
13-Apr-09,10 cm,434 cm,224 cm
14-Apr-09,5 cm,439 cm,224 cm
17-Apr-09,8 cm,447 cm,216 cm
19-Apr-09,3 cm,450 cm,218 cm
6-May-09,2 cm,452 cm,195 cm
12-May-09,4 cm,456 cm,189 cm
19-May-09,7 cm,463 cm,169 cm
9-Nov-09,10 cm,473 cm,0 cm
10-Nov-09,10 cm,483 cm,0 cm
11-Nov-09,20 cm,503 cm,90 cm
12-Nov-09,30 cm,533 cm,0 cm
14-Nov-09,5 cm,538 cm,0 cm
16-Nov-09,51 cm,589 cm,0 cm
17-Nov-09,69 cm,658 cm,0 cm
18-Nov-09,18 cm,676 cm,0 cm
19-Nov-09,51 cm,727 cm,0 cm
21-Nov-09,10 cm,737 cm,0 cm
22-Nov-09,18 cm,755 cm,0 cm
23-Nov-09,3 cm,758 cm,0 cm
24-Nov-09,8 cm,766 cm,0 cm
28-Nov-09,4 cm,770 cm,196 cm
30-Nov-09,3 cm,773 cm,183 cm
1-Dec-09,8 cm,781 cm,183 cm
15-Dec-09,10 cm,791 cm,71 cm
18-Dec-09,5 cm,796 cm,221 cm
19-Dec-09,5 cm,801 cm,221 cm
20-Dec-09,15 cm,816 cm,224 cm
21-Dec-09,20 cm,836 cm,241 cm
22-Dec-09,18 cm,854 cm,251 cm
30-Dec-09,3 cm,857 cm,216 cm
