Date,24 hr New Snow,Season Snowfall Total,Base Depth
11-Dec-16,6 cm,1078 cm,0 cm
12-Dec-16,14 cm,1092 cm,0 cm
19-Dec-16,31 cm,1123 cm,0 cm
20-Dec-16,6 cm,1129 cm,0 cm
21-Dec-16,4 cm,1133 cm,0 cm
23-Dec-16,9 cm,1142 cm,0 cm
24-Dec-16,3 cm,1145 cm,0 cm
26-Dec-16,1 cm,1146 cm,168 cm
27-Dec-16,23 cm,1169 cm,0 cm
28-Dec-16,5 cm,1174 cm,0 cm
29-Dec-16,13 cm,1187 cm,0 cm
30-Dec-16,41 cm,1228 cm,0 cm
4-Jan-15,17 cm,17 cm,119 cm
5-Jan-15,27 cm,44 cm,150 cm
10-Jan-15,3 cm,47 cm,125 cm
11-Jan-15,1 cm,48 cm,124 cm
16-Jan-15,13 cm,61 cm,137 cm
17-Jan-15,11 cm,72 cm,135 cm
18-Jan-15,16 cm,88 cm,155 cm
19-Jan-15,4 cm,92 cm,156 cm
22-Jan-15,4 cm,96 cm,156 cm
1-Feb-15,13 cm,109 cm,130 cm
2-Feb-15,3 cm,112 cm,132 cm
3-Feb-15,3 cm,115 cm,137 cm
5-Feb-15,13 cm,128 cm,136 cm
6-Feb-15,1 cm,129 cm,148 cm
7-Feb-15,9 cm,138 cm,152 cm
8-Feb-15,9 cm,147 cm,158 cm
9-Feb-15,5 cm,152 cm,158 cm
26-Feb-15,3 cm,155 cm,145 cm
2-Mar-15,2 cm,157 cm,146 cm
12-Mar-15,3 cm,160 cm,145 cm
14-Mar-15,8 cm,168 cm,143 cm
19-Mar-15,21 cm,189 cm,150 cm
20-Mar-15,4 cm,193 cm,170 cm
21-Mar-15,19 cm,212 cm,184 cm
22-Mar-15,1 cm,213 cm,181 cm
23-Mar-15,6 cm,219 cm,185 cm
24-Mar-15,4 cm,223 cm,188 cm
25-Mar-15,3 cm,226 cm,188 cm
28-Mar-15,3 cm,229 cm,170 cm
29-Mar-15,33 cm,262 cm,170 cm
30-Mar-15,2 cm,264 cm,200 cm
31-Mar-15,7 cm,271 cm,187 cm
1-Apr-15,2 cm,273 cm,183 cm
3-Apr-15,2 cm,275 cm,0 cm
4-Apr-15,6 cm,281 cm,0 cm
5-Apr-15,1 cm,282 cm,0 cm
11-Apr-15,21 cm,303 cm,0 cm
12-Apr-15,4 cm,307 cm,0 cm
13-Apr-15,10 cm,317 cm,0 cm
14-Apr-15,6 cm,323 cm,0 cm
22-Apr-15,5 cm,328 cm,0 cm
24-Apr-15,10 cm,338 cm,0 cm
28-Apr-15,2 cm,340 cm,0 cm
5-May-15,4 cm,344 cm,0 cm
8-Nov-15,1 cm,345 cm,0 cm
11-Nov-15,20 cm,365 cm,45 cm
17-Nov-15,18 cm,383 cm,70 cm
18-Nov-15,2 cm,385 cm,77 cm
23-Nov-15,5 cm,390 cm,78 cm
24-Nov-15,8 cm,398 cm,84 cm
1-Dec-15,3 cm,401 cm,79 cm
2-Dec-15,7 cm,408 cm,87 cm
3-Dec-15,2 cm,410 cm,84 cm
