Resort ID,Resort,City,Region,Region ID,Latitude,Longitude,Station,Station ID,Total Visitors,Average Visitors,Total Reviews,Average Rating,Average Snow Depth,Average High Temp,Average Low Temp,Average Temp
3,Bridger,Bozeman,Yellowstone Country,5,45.818,-110.897,USC00241050,70,6053942,183453,368,4.17,N/A,41.55721033,20.87721819,31.20663003
4,Discovery,Anaconda,Southwest Montana,6,46.256389,-113.241944,USS0013C03S,86,1802077,54608,102,3.98,48.04300516,31.49356962,14.20477317,22.1637268
11,Red Lodge,Red Lodge,Yellowstone Country,1,45.191,-109.335,USS0009D16S,342,3344268,101341,319,3.69,31.84210526,34.16614766,17.76312196,24.13821417
12,Showdown,Neihart,Central Montana,2,46.838611,-110.708889,USS0010C09S,252,1507906,45694,22,4.68,26.86598097,33.67645395,20.89681087,8.356170788
13,Snowbowl,Missoula,Glacier Country,1,47.02,-114,USS0015C10S,161,1869652,56656,48,4.08,78.31578947,30.34607944,19.85518285,24.88132788
16,Whitefish,Whitefish,Glacier Country,1,48.5,-114.34,USC00246218,218,9680299,293342,374,4.02,15.39393939,34.55156665,20.45528273,27.50342469
