Resort,Zip,Station,Station ID,Years,visit,Average Temp
Red Lodge,59068,USS0009D16S,342,2018-2019,95775.00,23.74
Red Lodge,59068,USS0009D16S,342,2019-2020,83892.00,26.46
Red Lodge,59068,USS0009D16S,342,2020-2021,90232.00,25.91
Showdown,59465,USS0010C09S,252,1988-1989,46013.00,6.49
Showdown,59465,USS0010C09S,252,1989-1990,58973.00,8.69
Showdown,59465,USS0010C09S,252,1990-1991,45094.00,11.57
Showdown,59465,USS0010C09S,252,1991-1992,50885.00,5.55
Showdown,59465,USS0010C09S,252,1992-1993,52046.00,1.46
Showdown,59465,USS0010C09S,252,1993-1994,59152.00,7.76
Showdown,59465,USS0010C09S,252,1994-1995,51682.00,6.36
Showdown,59465,USS0010C09S,252,1995-1996,52555.00,2.46
Showdown,59465,USS0010C09S,252,1996-1997,47776.00,4.75
Showdown,59465,USS0010C09S,252,1997-1998,41112.00,3.61
Showdown,59465,USS0010C09S,252,1998-1999,49460.00,11.12
Showdown,59465,USS0010C09S,252,1999-2000,55001.00,11.07
Showdown,59465,USS0010C09S,252,2000-2001,53104.00,6.09
Showdown,59465,USS0010C09S,252,2001-2002,43537.00,6.46
Showdown,59465,USS0010C09S,252,2002-2003,34824.00,12.00
Showdown,59465,USS0010C09S,252,2003-2004,43232.00,11.28
Showdown,59465,USS0010C09S,252,2004-2005,38186.00,11.26
Showdown,59465,USS0010C09S,252,2005-2006,48383.00,7.76
Showdown,59465,USS0010C09S,252,2006-2007,41369.00,10.85
Showdown,59465,USS0010C09S,252,2007-2008,43400.00,7.30
Showdown,59465,USS0010C09S,252,2008-2009,41020.00,6.36
Showdown,59465,USS0010C09S,252,2009-2010,47160.00,7.75
Showdown,59465,USS0010C09S,252,2010-2011,42615.00,9.37
Showdown,59465,USS0010C09S,252,2011-2012,44619.00,12.03
Showdown,59465,USS0010C09S,252,2012-2013,43657.00,10.12
Showdown,59465,USS0010C09S,252,2013-2014,44992.00,6.70
Showdown,59465,USS0010C09S,252,2014-2015,40207.00,13.65
Showdown,59465,USS0010C09S,252,2015-2016,42141.00,13.96
Showdown,59465,USS0010C09S,252,2016-2017,31931.00,8.61
Showdown,59465,USS0010C09S,252,2017-2018,43246.00,7.88
Showdown,59465,USS0010C09S,252,2018-2019,45173.00,5.06
Showdown,59465,USS0010C09S,252,2019-2020,39347.00,11.15
Showdown,59465,USS0010C09S,252,2020-2021,46014.00,9.21
Snowbowl,59808,USS0015C10S,161,1988-1989,50009.00,20.12
Snowbowl,59808,USS0015C10S,161,1989-1990,37200.00,23.00
Snowbowl,59808,USS0015C10S,161,1990-1991,46672.00,19.80
Snowbowl,59808,USS0015C10S,161,1991-1992,47121.00,27.94
Snowbowl,59808,USS0015C10S,161,1992-1993,55106.00,19.74
Snowbowl,59808,USS0015C10S,161,1993-1994,44608.00,24.19
Snowbowl,59808,USS0015C10S,161,1994-1995,45900.00,23.13
Snowbowl,59808,USS0015C10S,161,1995-1996,47421.00,21.61
Snowbowl,59808,USS0015C10S,161,1996-1997,62347.00,21.48
Snowbowl,59808,USS0015C10S,161,1997-1998,47059.00,23.30
Snowbowl,59808,USS0015C10S,161,1998-1999,66060.00,25.12
Snowbowl,59808,USS0015C10S,161,1999-2000,64768.00,26.70
Snowbowl,59808,USS0015C10S,161,2000-2001,58050.00,25.53
Snowbowl,59808,USS0015C10S,161,2001-2002,68832.00,23.63
Snowbowl,59808,USS0015C10S,161,2002-2003,54027.00,27.85
Snowbowl,59808,USS0015C10S,161,2003-2004,65065.00,27.03
Snowbowl,59808,USS0015C10S,161,2004-2005,38950.00,28.49
Snowbowl,59808,USS0015C10S,161,2005-2006,61933.00,25.24
Snowbowl,59808,USS0015C10S,161,2006-2007,56600.00,26.77
Snowbowl,59808,USS0015C10S,161,2007-2008,66548.00,23.93
Snowbowl,59808,USS0015C10S,161,2008-2009,59608.00,24.25
Snowbowl,59808,USS0015C10S,161,2009-2010,50986.00,27.38
Snowbowl,59808,USS0015C10S,161,2010-2011,74050.00,25.03
Snowbowl,59808,USS0015C10S,161,2011-2012,63854.00,26.46
Snowbowl,59808,USS0015C10S,161,2012-2013,61882.00,25.74
Snowbowl,59808,USS0015C10S,161,2013-2014,61970.00,24.12
Snowbowl,59808,USS0015C10S,161,2014-2015,50719.00,30.15
Snowbowl,59808,USS0015C10S,161,2015-2016,56480.00,28.22
Snowbowl,59808,USS0015C10S,161,2016-2017,61441.00,24.00
Snowbowl,59808,USS0015C10S,161,2017-2018,67050.00,25.93
Snowbowl,59808,USS0015C10S,161,2018-2019,61442.00,23.55
Snowbowl,59808,USS0015C10S,161,2019-2020,54910.00,26.12
Snowbowl,59808,USS0015C10S,161,2020-2021,60984.00,25.51
Whitefish,59937,USC00246218,218,1988-1989,265416.00,23.81
Whitefish,59937,USC00246218,218,1989-1990,271884.00,27.94
Whitefish,59937,USC00246218,218,1990-1991,288056.00,24.35
Whitefish,59937,USC00246218,218,1991-1992,279808.00,31.52
Whitefish,59937,USC00246218,218,1992-1993,291554.00,22.02
Whitefish,59937,USC00246218,218,1993-1994,265798.00,28.70
Whitefish,59937,USC00246218,218,1994-1995,296909.00,27.65
Whitefish,59937,USC00246218,218,1995-1996,241179.00,23.48
Whitefish,59937,USC00246218,218,1996-1997,270527.00,24.35
Whitefish,59937,USC00246218,218,1997-1998,207592.00,29.02
Whitefish,59937,USC00246218,218,1998-1999,223013.00,29.88
Whitefish,59937,USC00246218,218,1999-2000,285681.00,30.02
Whitefish,59937,USC00246218,218,2000-2001,254922.00,26.41
Whitefish,59937,USC00246218,218,2001-2002,267731.00,25.98
Whitefish,59937,USC00246218,218,2002-2003,235018.00,29.55
Whitefish,59937,USC00246218,218,2003-2004,258738.00,28.22
Whitefish,59937,USC00246218,218,2004-2005,213409.00,29.14
Whitefish,59937,USC00246218,218,2005-2006,304366.00,27.86
Whitefish,59937,USC00246218,218,2006-2007,260278.00,28.45
Whitefish,59937,USC00246218,218,2007-2008,296708.00,27.73
Whitefish,59937,USC00246218,218,2008-2009,280484.00,24.38
Whitefish,59937,USC00246218,218,2009-2010,282933.00,28.53
Whitefish,59937,USC00246218,218,2010-2011,318222.00,25.70
Whitefish,59937,USC00246218,218,2011-2012,294261.00,30.05
Whitefish,59937,USC00246218,218,2012-2013,322589.00,29.66
Whitefish,59937,USC00246218,218,2013-2014,344958.00,24.94
Whitefish,59937,USC00246218,218,2014-2015,310290.00,29.62
Whitefish,59937,USC00246218,218,2015-2016,322459.00,31.45
Whitefish,59937,USC00246218,218,2016-2017,346547.00,24.40
Whitefish,59937,USC00246218,218,2017-2018,382066.00,25.61
Whitefish,59937,USC00246218,218,2018-2019,379387.00,23.41
Whitefish,59937,USC00246218,218,2019-2020,358990.00,30.30
Whitefish,59937,USC00246218,218,2020-2021,458526.00,33.46
