Resort,Zip,Station,Station ID,Years,visit,Average Snow Depth,Average High Temp,Average Low Temp,Average Temp
Snowbowl,59808,USS0015C10S,161,2014-2015,50719.00,61.00,35.54,25.06,30.15
Snowbowl,59808,USS0015C10S,161,2015-2016,56480.00,71.00,32.78,23.99,28.22
Snowbowl,59808,USS0015C10S,161,2016-2017,61441.00,73.00,28.74,18.99,24.00
Snowbowl,59808,USS0015C10S,161,2017-2018,67050.00,93.00,30.60,21.42,25.93
Snowbowl,59808,USS0015C10S,161,2018-2019,61442.00,74.00,29.65,18.08,23.55
Snowbowl,59808,USS0015C10S,161,2019-2020,54910.00,78.00,30.82,21.82,26.12
Snowbowl,59808,USS0015C10S,161,2020-2021,60984.00,73.00,30.49,20.79,25.51
Whitefish,59937,USC00246218,218,1988-1989,265416.00,15.00,31.35,16.27,23.81
Whitefish,59937,USC00246218,218,1989-1990,271884.00,10.00,35.41,20.46,27.94
Whitefish,59937,USC00246218,218,1990-1991,288056.00,17.00,32.09,16.61,24.35
Whitefish,59937,USC00246218,218,1991-1992,279808.00,10.00,39.28,23.75,31.52
Whitefish,59937,USC00246218,218,1992-1993,291554.00,17.00,30.08,13.95,22.02
Whitefish,59937,USC00246218,218,1993-1994,265798.00,18.00,35.93,21.47,28.70
Whitefish,59937,USC00246218,218,1994-1995,296909.00,9.00,34.77,20.53,27.65
Whitefish,59937,USC00246218,218,1995-1996,241179.00,12.00,31.30,15.67,23.48
Whitefish,59937,USC00246218,218,1996-1997,270527.00,41.00,31.06,17.64,24.35
Whitefish,59937,USC00246218,218,1997-1998,207592.00,10.00,35.60,22.45,29.02
Whitefish,59937,USC00246218,218,1998-1999,223013.00,13.00,36.56,23.21,29.88
Whitefish,59937,USC00246218,218,1999-2000,285681.00,18.00,35.61,24.44,30.02
Whitefish,59937,USC00246218,218,2000-2001,254922.00,17.00,33.64,19.19,26.41
Whitefish,59937,USC00246218,218,2001-2002,267731.00,17.00,32.56,19.40,25.98
Whitefish,59937,USC00246218,218,2002-2003,235018.00,12.00,35.44,23.65,29.55
Whitefish,59937,USC00246218,218,2003-2004,258738.00,24.00,35.99,20.44,28.22
Whitefish,59937,USC00246218,218,2004-2005,213409.00,5.00,37.45,20.83,29.14
Whitefish,59937,USC00246218,218,2005-2006,304366.00,16.00,34.69,21.02,27.86
Whitefish,59937,USC00246218,218,2006-2007,260278.00,14.00,35.60,21.30,28.45
Whitefish,59937,USC00246218,218,2007-2008,296708.00,22.00,34.69,20.78,27.73
Whitefish,59937,USC00246218,218,2008-2009,280484.00,20.00,32.12,16.65,24.38
Whitefish,59937,USC00246218,218,2009-2010,282933.00,9.00,36.30,20.77,28.53
Whitefish,59937,USC00246218,218,2010-2011,318222.00,21.00,31.99,19.41,25.70
Whitefish,59937,USC00246218,218,2011-2012,294261.00,9.00,36.66,23.43,30.05
Whitefish,59937,USC00246218,218,2012-2013,322589.00,11.00,36.05,23.27,29.66
Whitefish,59937,USC00246218,218,2013-2014,344958.00,18.00,31.39,18.50,24.94
Whitefish,59937,USC00246218,218,2014-2015,310290.00,14.00,36.89,22.35,29.62
Whitefish,59937,USC00246218,218,2015-2016,322459.00,8.00,36.89,26.02,31.45
Whitefish,59937,USC00246218,218,2016-2017,346547.00,19.00,31.42,17.39,24.40
Whitefish,59937,USC00246218,218,2017-2018,382066.00,23.00,31.82,19.40,25.61
Whitefish,59937,USC00246218,218,2018-2019,379387.00,16.00,32.12,14.70,23.41
Whitefish,59937,USC00246218,218,2019-2020,358990.00,13.00,36.81,23.80,30.30
Whitefish,59937,USC00246218,218,2020-2021,458526.00,10.00,40.66,26.26,33.46
