,REGION_ID,STATION_ID,NAME,DATE,SNOW_DEPT,MAX_TEMPERATURE,MIN_TEMPERATURE,SNOW_FALL
4452,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/10/2000,,37,21,
4453,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/11/2000,,29,18,
4454,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/12/2000,,30,17,
4455,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/13/2000,,32,20,
4456,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/14/2000,,30,15,
4457,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/15/2000,,30,12,
4458,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/16/2000,,36,13,
4459,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/17/2000,,23,18,
4460,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/18/2000,,36,21,
4461,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/19/2000,,31,9,
4462,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/20/2000,,32,9,
4463,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/21/2000,,42,7,
4464,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/22/2000,,53,24,
4465,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/23/2000,,37,18,
4466,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/24/2000,,39,10,
4467,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/25/2000,,46,18,
4468,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/26/2000,,48,18,
4469,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/27/2000,,54,26,
4470,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/28/2000,,33,17,
4471,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/29/2000,,30,16,
4472,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/30/2000,,35,11,
4473,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",3/31/2000,,41,12,
4474,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/1/2000,,42,23,
4475,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/2/2000,,35,15,
4476,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/3/2000,,53,15,
4477,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/4/2000,,54,26,
4478,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/5/2000,,40,21,
4479,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/6/2000,,28,20,
4480,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/7/2000,,42,13,
4481,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/8/2000,,55,20,
4482,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/9/2000,,52,27,
