Resort,Zip,Years,Visits
Lookout Pass,83846,44595,"22,759"
Lookout Pass,83846,44624,"46,858"
Lookout Pass,83846,44656,"34,142"
Lookout Pass,83846,44687,"50,594"
Lookout Pass,83846,44719,"56,555"
Lookout Pass,83846,44750,"63,122"
Lookout Pass,83846,44782,"57,672"
Lookout Pass,83846,44814,"57,007"
Lookout Pass,83846,44845,"59,772"
Lookout Pass,83846,44877,"64,291"
Lookout Pass,83846,44908,"65,572"
Lookout Pass,83846,13-14,"65,621"
Lookout Pass,83846,14-15,"57,738"
Lookout Pass,83846,15-16,"59,752"
Lookout Pass,83846,16-17,"66,815"
Lookout Pass,83846,17-18,"76,468"
Lookout Pass,83846,18-19,"85,287"
Lookout Pass,83846,19-20,"88,700"
Lookout Pass,83846,20-21,"126,854"
Lost Trail,59871,88-89,"30,833"
Lost Trail,59871,89-90,"28,844"
Lost Trail,59871,90-91,"28,438"
Lost Trail,59871,91-92,"32,446"
Lost Trail,59871,92-93,"32,637"
Lost Trail,59871,93-94,"28,822"
Lost Trail,59871,94-95,"33,622"
Lost Trail,59871,95-96,"34,388"
Lost Trail,59871,96-97,"29,690"
Lost Trail,59871,97-98,"35,944"
Lost Trail,59871,98-99,"36,608"
Lost Trail,59871,99-00,"45,738"
Lost Trail,59871,00-01,"33,299"
Lost Trail,59871,44563,"43,402"
Lost Trail,59871,44595,"39,760"
Lost Trail,59871,44624,"38,157"
Lost Trail,59871,44656,"31,564"
Lost Trail,59871,44687,"48,973"
Lost Trail,59871,44719,"38,626"
Lost Trail,59871,44750,"46,082"
Lost Trail,59871,44782,"40,058"
Lost Trail,59871,44814,"39,323"
Lost Trail,59871,44845,"45,629"
Lost Trail,59871,44877,"44,440"
Lost Trail,59871,44908,"41,525"
Lost Trail,59871,13-14,"49,062"
Lost Trail,59871,14-15,"40,488"
Lost Trail,59871,15-16,"43,648"
Lost Trail,59871,16-17,"44,364"
Lost Trail,59871,17-18,"41,350"
Lost Trail,59871,18-19,"42,199"
Lost Trail,59871,19-20,"39,174"
Lost Trail,59871,20-21,"60,876"
Marshall,59802,88-89,"24,849"
Marshall,59802,89-90,"23,656"
Marshall,59802,90-91,"20,558"
Marshall,59802,91-92,"17,115"
Marshall,59802,92-93,"9,124"
Marshall,59802,93-94,"20,866"
Marshall,59802,94-95,"15,640"
Marshall,59802,95-96,"15,770"
Marshall,59802,96-97,"25,769"
Marshall,59802,97-98,"16,143"
Marshall,59802,98-99,"23,051"
Marshall,59802,99-00,"26,010"
Marshall,59802,00-01,"30,153"
Marshall,59802,44563,"33,526"
Marshall,59802,44595,"14,207"
Marshall,59802,44624,0
Marshall,59802,44656,0
Marshall,59802,44687,0
Marshall,59802,44719,0
Marshall,59802,44750,0
Marshall,59802,44782,0
Marshall,59802,44814,0
Marshall,59802,44845,0
Marshall,59802,44877,0
Maverick,59746,88-89,"6,012"
Maverick,59746,89-90,"4,175"
Maverick,59746,90-91,"5,566"
Maverick,59746,91-92,"9,280"
Maverick,59746,92-93,"8,026"
Maverick,59746,93-94,"4,558"
Maverick,59746,94-95,"8,944"
Maverick,59746,95-96,"11,934"
Maverick,59746,96-97,"11,964"
Maverick,59746,97-98,"8,416"
Maverick,59746,98-99,"9,132"
Maverick,59746,99-00,"8,537"
Maverick,59746,00-01,"7,245"
Maverick,59746,44563,"7,324"
Maverick,59746,44595,"6,608"
Maverick,59746,44624,"8,125"
Maverick,59746,44656,"1,411"
Maverick,59746,44687,"8,783"
Maverick,59746,44719,"7,673"
Maverick,59746,44750,"9,488"
Maverick,59746,44782,"8,013"
Maverick,59746,44814,"5,411"
Maverick,59746,44845,"9,548"
Maverick,59746,44877,"6,486"
Maverick,59746,44908,"7,752"
Maverick,59746,13-14,"7,217"
Maverick,59746,14-15,"6,772"
Maverick,59746,15-16,"8,234"
Maverick,59746,16-17,"12,133"
Maverick,59746,17-18,"15,469"
Maverick,59746,18-19,"9,672"
Maverick,59746,19-20,"8,551"
Maverick,59746,20-21,"15,160"
Moonlight Basin,59716,88-89,0
Moonlight Basin,59716,89-90,0
Moonlight Basin,59716,90-91,0
Moonlight Basin,59716,91-92,0
Moonlight Basin,59716,92-93,0
Moonlight Basin,59716,93-94,0
Moonlight Basin,59716,94-95,0
Moonlight Basin,59716,95-96,0
Moonlight Basin,59716,96-97,0
Moonlight Basin,59716,97-98,0
Moonlight Basin,59716,98-99,0
Moonlight Basin,59716,99-00,0
Moonlight Basin,59716,00-01,0
Moonlight Basin,59716,44563,0
Moonlight Basin,59716,44595,0
Moonlight Basin,59716,44624,"21,000"
Moonlight Basin,59716,44656,"42,000"
Moonlight Basin,59716,44687,"74,000"
Moonlight Basin,59716,44719,"76,000"
Moonlight Basin,59716,44750,"105,000"
Moonlight Basin,59716,44782,"85,000"
Moonlight Basin,59716,44814,"103,000"
Moonlight Basin,59716,44845,"99,817"
Moonlight Basin,59716,44877,"95,225"
Moonlight Basin,59716,44908,"111,716"
Red Lodge,59068,88-89,"83,752"
Red Lodge,59068,89-90,"105,079"
Red Lodge,59068,90-91,"99,801"
Red Lodge,59068,91-92,"101,237"
Red Lodge,59068,92-93,"92,249"
Red Lodge,59068,93-94,"122,636"
Red Lodge,59068,94-95,"114,140"
Red Lodge,59068,95-96,"125,288"
Red Lodge,59068,96-97,"117,516"
Red Lodge,59068,97-98,"147,406"
Red Lodge,59068,98-99,"119,727"
Red Lodge,59068,99-00,"116,926"
Red Lodge,59068,00-01,"110,145"
Red Lodge,59068,44563,"88,108"
Red Lodge,59068,44595,"123,349"
Red Lodge,59068,44624,"103,471"
Red Lodge,59068,44656,"99,524"
Red Lodge,59068,44687,"89,363"
Red Lodge,59068,44719,"84,685"
Red Lodge,59068,44750,"84,587"
Red Lodge,59068,44782,"104,613"
Red Lodge,59068,44814,"109,620"
Red Lodge,59068,44845,"97,373"
Red Lodge,59068,44877,"111,581"
Red Lodge,59068,44908,"86,629"
Red Lodge,59068,13-14,"105,510"
Red Lodge,59068,14-15,"87,805"
Red Lodge,59068,15-16,"66,914"
Red Lodge,59068,16-17,"82,498"
Red Lodge,59068,17-18,"92,837"
Red Lodge,59068,18-19,"95,775"
Red Lodge,59068,19-20,"83,892"
Red Lodge,59068,20-21,"90,232"
Showdown,59465,88-89,"46,013"
Showdown,59465,89-90,"58,973"
Showdown,59465,90-91,"45,094"
Showdown,59465,91-92,"50,885"
Showdown,59465,92-93,"52,046"
Showdown,59465,93-94,"59,152"
Showdown,59465,94-95,"51,682"
Showdown,59465,95-96,"52,555"
Showdown,59465,96-97,"47,776"
Showdown,59465,97-98,"41,112"
Showdown,59465,98-99,"49,460"
Showdown,59465,99-00,"55,001"
Showdown,59465,00-01,"53,104"
Showdown,59465,44563,"43,537"
Showdown,59465,44595,"34,824"
Showdown,59465,44624,"43,232"
