STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS,WESD
USS0010C09S,"DEADMAN CREEK, MT US",3/14/88,0.2,,,,,11,8.8
USS0010C09S,"DEADMAN CREEK, MT US",3/15/88,0.2,,,,,-17,8.9
USS0010C09S,"DEADMAN CREEK, MT US",3/16/88,0,,,,,-12,8.9
USS0010C09S,"DEADMAN CREEK, MT US",3/17/88,0,,,,,0,8.9
USS0010C09S,"DEADMAN CREEK, MT US",3/18/88,0,,,,,30,8.9
USS0010C09S,"DEADMAN CREEK, MT US",3/19/88,0,,,,,31,8.9
USS0010C09S,"DEADMAN CREEK, MT US",3/20/88,0,,,,,30,8.9
USS0010C09S,"DEADMAN CREEK, MT US",3/21/88,0,,,,,17,8.9
USS0010C09S,"DEADMAN CREEK, MT US",3/22/88,0,,,,,25,8.9
USS0010C09S,"DEADMAN CREEK, MT US",3/23/88,0.1,,,,,19,8.9
USS0010C09S,"DEADMAN CREEK, MT US",3/24/88,0,,,,,20,8.9
USS0010C09S,"DEADMAN CREEK, MT US",3/25/88,0,,,,,34,8.9
USS0010C09S,"DEADMAN CREEK, MT US",3/26/88,0.2,,,,,15,9
USS0010C09S,"DEADMAN CREEK, MT US",3/27/88,0.5,,,,,9,9.1
USS0010C09S,"DEADMAN CREEK, MT US",3/28/88,0.4,,,,,7,9.2
USS0010C09S,"DEADMAN CREEK, MT US",3/29/88,0.2,,,,,8,9.5
USS0010C09S,"DEADMAN CREEK, MT US",3/30/88,0,,,,,-4,9.6
USS0010C09S,"DEADMAN CREEK, MT US",3/31/88,0,,,,,5,9.6
USS0010C09S,"DEADMAN CREEK, MT US",4/1/88,0,,,,,14,9.6
USS0010C09S,"DEADMAN CREEK, MT US",4/2/88,0,,,,,37,9.6
USS0010C09S,"DEADMAN CREEK, MT US",4/3/88,0.1,,,,,19,9.6
USS0010C09S,"DEADMAN CREEK, MT US",4/4/88,0,,,,,13,9.6
USS0010C09S,"DEADMAN CREEK, MT US",4/5/88,0,,,,,30,9.6
USS0010C09S,"DEADMAN CREEK, MT US",4/6/88,0,,,,,31,9.6
USS0010C09S,"DEADMAN CREEK, MT US",4/7/88,0.5,,,,,18,9.6
USS0010C09S,"DEADMAN CREEK, MT US",4/8/88,0.3,,,,,-4,9.7
USS0010C09S,"DEADMAN CREEK, MT US",4/9/88,0,,,,,2,9.8
USS0010C09S,"DEADMAN CREEK, MT US",4/10/88,0,,,,,18,9.9
USS0010C09S,"DEADMAN CREEK, MT US",4/11/88,0,,,,,21,9.7
USS0010C09S,"DEADMAN CREEK, MT US",4/12/88,0,,,,,22,9
USS0010C09S,"DEADMAN CREEK, MT US",4/13/88,0,,,,,20,8.4
